team,name,sport,blessure,position,date,position_complet
L.A. Rams,S. Jolly,nfl,Undisclosed,DB,2024-05-01,Defensive Back
L.A. Rams,T. White,nfl,Achilles,CB,2024-02-12,Cornerback
L.A. Rams,T. Higbee,nfl,Knee - ACL + MCL,TE,2024-01-19,Tight End
Miami,E. Ezukanma,nfl,Neck,WR,2024-05-01,Wide Receiver
Miami,Z. Vandenburgh,nfl,Undisclosed,LB,2024-05-01,Linebacker
Miami,J. Holland,nfl,Knee,SAF,2024-05-01,Safety
Miami,S. Ahmed,nfl,Foot,RB,2024-05-01,Running Back
Miami,B. Chubb,nfl,Knee - ACL,OLB,2024-02-13,Outside Linebacker
Miami,C. Goode,nfl,Kneecap,LB,2024-02-13,Linebacker
Miami,J. Phillips,nfl,Achilles,LB,2024-02-13,Linebacker
Minnesota,N. Thompson,nfl,Knee,CB,2024-05-01,Cornerback
Minnesota,T. Jackson,nfl,Toe,DB,2024-05-01,Defensive Back
Minnesota,J. Roy,nfl,Ankle,DT,2024-05-01,Defensive Tackle
Minnesota,M. Blackmon,nfl,Shoulder,DB,2024-05-01,Defensive Back
Minnesota,M. Knowles,nfl,Undisclosed,WR,2024-05-01,Wide Receiver
Minnesota,J. Nailor,nfl,Concussion,WR,2024-05-01,Wide Receiver
Minnesota,B. O'Neill,nfl,Foot,OT,2024-05-01,Offensive Tackle
Minnesota,A. Van Ginkel,nfl,Foot,OLB,2024-05-01,Outside Linebacker
Minnesota,B. Murphy,nfl,Knee - MCL,CB,2024-05-01,Cornerback
Minnesota,E. Ingram,nfl,Shoulder,OG,2024-05-01,Offensive Guard
Minnesota,T. Hockenson,nfl,Knee - ACL + MCL,TE,2024-02-13,Tight End
New England,D. Ekuale,nfl,Biceps,DT,2024-05-01,Defensive Tackle
New England,M. Jones,nfl,Shoulder,CB,2024-05-01,Cornerback
New England,V. Lowe,nfl,Head,OT,2024-05-01,Offensive Tackle
New England,C. Gonzalez,nfl,Shoulder - Labrum,CB,2024-05-01,Cornerback
New England,I. Bolden,nfl,Concussion,CB,2024-05-01,Cornerback
New England,M. Judon,nfl,Biceps,OLB,2024-05-01,Outside Linebacker
New England,R. Reiff,nfl,Knee,OT,2024-05-01,Offensive Tackle
New England,R. McMillan,nfl,Achilles,MLB,2024-05-01,Middle Linebacker
New England,C. Strange,nfl,Knee,OG,2024-05-01,Offensive Guard
New England,K. Bourne,nfl,Knee - ACL,WR,2024-02-13,Wide Receiver
New Orleans,N. Saldiveri,nfl,Shoulder,OG,2024-05-01,Offensive Guard
New Orleans,M. Lattimore,nfl,Ankle,CB,2024-05-01,Cornerback
New Orleans,S. Lemieux,nfl,Biceps,OG,2024-05-01,Offensive Guard
New Orleans,A. Kamara,nfl,Ankle,RB,2024-05-01,Running Back
New Orleans,L. Young,nfl,Knee,OT,2024-05-01,Offensive Tackle
New Orleans,R. Ramczyk,nfl,Knee,OT,2024-04-17,Offensive Tackle
New Orleans,C. Jordan,nfl,Ankle,DE,2024-03-25,Defensive End
New Orleans,C. Young,nfl,Neck,DE,2024-03-19,Defensive End
New Orleans,N. Sewell,nfl,Knee - ACL,LB,2024-02-13,Linebacker
