team,nom,position,blessure,date,sport
N.Y. Jets,Aaron Rodgers,QB,Achilles,"Wed, May 1",nfl
N.Y. Jets,Joe Tippmann,C,Ankle,"Wed, May 1",nfl
N.Y. Jets,Jeremy Ruckert,TE,Concussion,"Wed, May 1",nfl
N.Y. Jets,Wes Schweitzer,OG,Calf,"Wed, May 1",nfl
N.Y. Jets,Chuck Clark,DB,Knee - ACL,"Wed, May 1",nfl
N.Y. Jets,Morgan Moses,OT,Pectoral,"Wed, Mar 20",nfl
N.Y. Jets,Alijah Vera-Tucker,OG,Achilles,"Tue, Feb 13",nfl
N.Y. Jets,Mike Williams,WR,Knee - ACL,"Tue, Feb 13",nfl
Philadelphia,Le'Raven Clark,OT,Undisclosed,"Fri, May 3",nfl
Philadelphia,Nakobe Dean,LB,Foot,"Wed, May 1",nfl
Philadelphia,Roderick Johnson,OT,Undisclosed,"Wed, May 1",nfl
Philadelphia,C.J. Uzomah,TE,Knee - MCL,"Wed, May 1",nfl
Philadelphia,Britain Covey,WR,Knee,"Wed, May 1",nfl
Philadelphia,Julio Jones,WR,Concussion,"Wed, May 1",nfl
Philadelphia,Darius Slay,CB,Back,"Wed, May 1",nfl
Philadelphia,Matt Hennessy,C,Knee,"Wed, May 1",nfl
Philadelphia,A.J. Brown,WR,Knee,"Wed, May 1",nfl
Philadelphia,Albert Okwuegbunam,TE,Hamstring,"Wed, May 1",nfl
Philadelphia,Zech McPhearson,CB,Achilles,"Tue, Feb 13",nfl
Philadelphia,Sydney Brown,SAF,Knee - ACL,"Sat, Jan 20",nfl
Pittsburgh,Joey Porter Jr.,CB,Concussion,"Wed, May 1",nfl
Pittsburgh,Cole Holcomb,LB,Knee,"Wed, May 1",nfl
Pittsburgh,Dean Lowry,DE,Pectoral,"Wed, May 1",nfl
Pittsburgh,T.J. Watt,OLB,Knee - MCL,"Wed, May 1",nfl
Pittsburgh,Trenton Thompson,DB,Neck,"Wed, May 1",nfl
Pittsburgh,Cameron Heyward,DT,Groin,"Tue, Apr 16",nfl
Pittsburgh,Cory Trice,CB,Knee - ACL,"Tue, Feb 13",nfl
San Francisco,Drake Jackson,DE,Knee,"Wed, May 1",nfl
San Francisco,Danny Gray,WR,Shoulder - AC Joint,"Wed, May 1",nfl
San Francisco,Cameron Latu,TE,Knee - Meniscus,"Wed, May 1",nfl
San Francisco,Nick Zakelj,OT,Biceps,"Wed, May 1",nfl
San Francisco,Javon Hargrave,NT,Thumb,"Wed, May 1",nfl
San Francisco,Tayler Hawkins,SAF,Wrist,"Wed, May 1",nfl
San Francisco,Kalia Davis,DT,Ankle,"Wed, May 1",nfl
San Francisco,Charvarius Ward,CB,Groin,"Mon, Mar 25",nfl
San Francisco,George Kittle,TE,Groin,"Mon, Mar 25",nfl
San Francisco,Talanoa Hufanga,SAF,Knee - ACL,"Tue, Feb 13",nfl
San Francisco,Dre Greenlaw,LB,Achilles,"Mon, Feb 12",nfl
Seattle,Abraham Lucas,OT,Knee,"Wed, May 1",nfl
Seattle,Jason Peters,OT,Foot,"Wed, May 1",nfl
Seattle,Drake Thomas,LB,Knee,"Wed, May 1",nfl
Seattle,Mike Morris,DE,Shoulder,"Wed, May 1",nfl
Seattle,Kenny McIntosh,RB,Thumb,"Wed, May 1",nfl
Seattle,Uchenna Nwosu,LB,Pectoral,"Wed, May 1",nfl
Seattle,Jerome Baker,OLB,Wrist,"Wed, May 1",nfl
Seattle,Jarran Reed,DE,Knee,"Wed, May 1",nfl
Seattle,Andrew Whitaker,CB,Knee,"Wed, May 1",nfl
Seattle,D'Wayne Eskridge,WR,Ribs,"Wed, May 1",nfl
Seattle,Jerrick Reed II,SAF,Knee - ACL,"Tue, Feb 13",nfl
Tampa Bay,Tavierre Thomas,CB,Hamstring,"Wed, May 1",nfl
Tampa Bay,Mike Greene,DT,Calf,"Wed, May 1",nfl
Tampa Bay,Kaevon Merriweather,SAF,Ankle,"Wed, May 1",nfl
Tampa Bay,Anthony Nelson,LB,Elbow,"Wed, May 1",nfl
Tampa Bay,Jamel Dean,DB,Back,"Wed, May 1",nfl
Tampa Bay,Russell Gage,WR,Knee,"Wed, May 1",nfl
Tennessee,Amani Hooker,SAF,Knee,"Fri, May 3",nfl
Tennessee,Chance Campbell,LB,Undisclosed,"Wed, May 1",nfl
Tennessee,Josh Whyle,TE,Knee,"Wed, May 1",nfl
Tennessee,Kearis Jackson,WR,Ankle,"Wed, May 1",nfl
Tennessee,Jack Gibbens,LB,Back,"Wed, May 1",nfl
Tennessee,Daniel Brunskill,OG,Ankle,"Wed, May 1",nfl
Tennessee,TK McLendon Jr.,DE,Shoulder,"Wed, May 1",nfl
Tennessee,Luke Gifford,LB,Hamstring,"Wed, May 1",nfl
Tennessee,Anthony Kendall,CB,Knee,"Wed, May 1",nfl
Tennessee,Caleb Murphy,LB,Shoulder,"Wed, May 1",nfl
Tennessee,Shakel Brown,DT,Ankle,"Wed, May 1",nfl
Tennessee,Nicholas Petit-Frere,OT,Shoulder,"Wed, May 1",nfl
Tennessee,Will Levis,QB,Foot,"Wed, May 1",nfl
Tennessee,Hassan Haskins,RB,Undisclosed,"Wed, May 1",nfl
Tennessee,Jaelyn Duncan,OT,Neck,"Wed, May 1",nfl
Tennessee,Kyle Peko,NT,Calf,"Wed, May 1",nfl
Tennessee,Jeffery Simmons,DT,Knee,"Wed, May 1",nfl
Tennessee,Ryan Stonehouse,P,Knee,"Wed, May 1",nfl
Tennessee,Caleb Farley,CB,Back,"Wed, May 1",nfl
Tennessee,Colton Dowell,WR,Knee - ACL,"Tue, Feb 13",nfl
Washington,Percy Butler,SAF,Wrist,"Wed, May 1",nfl
Washington,Darrick Forrest,SAF,Shoulder,"Wed, May 1",nfl
Washington,Andrew Wylie,OT,Elbow,"Wed, May 1",nfl
Washington,Tariq Castro-Fields,CB,Shoulder,"Wed, May 1",nfl
Washington,Ricky Stromberg,C,Knee,"Wed, May 1",nfl
Washington,Chris Rodriguez Jr.,RB,Ankle,"Wed, May 1",nfl
Washington,Jartavius Martin,CB,Ankle,"Wed, May 1",nfl
Washington,Dax Milne,WR,Groin,"Wed, May 1",nfl
Washington,Braeden Daniels,OG,Shoulder,"Wed, May 1",nfl
Washington,Efe Obada,DE,Lower Leg,"Wed, May 1",nfl
Washington,Jonathan Allen,DE,Knee,"Wed, May 1",nfl
Washington,Armani Rogers,TE,Achilles,"Wed, May 1",nfl
Washington,Christian Holmes,CB,Concussion,"Wed, May 1",nfl
Washington,Jeremy Reaves,DB,Knee - ACL,"Tue, Feb 13",nfl
Washington,Nick Allegretti,OG,Elbow,"Tue, Feb 13",nfl
Washington,Jamin Davis,LB,Shoulder,"Tue, Feb 13",nfl
